DUID;Parent;LocalID;TypeData
1;Batt;ChargeInputVolt;Variable
2;Batt.Dc12;IsChargeActive;Variable
3;Batt.Dc24;IsChargeActive;Variable
4;Batt;RequestDataDc24OpA;Method
5;Batt;TimeTo10Percent;Variable
6;Batt;StatusOfCharge;Variable
7;Batt;ResponseBattData;Event
8;Batt.Dc12;BattVolt;Variable
9;Batt.Dc12;BattAmpOut;Variable
10;Batt.Dc12;BattAmpIn;Variable
11;Batt.Dc12;BattAmpAvg;Variable
12;Batt;RequestDataDc12OpM;Method
13;Batt.Dc12;ResponseDcData;Event
14;Batt.Dc24;BattVolt;Variable
15;Batt.Dc24;BattAmpOut;Variable
16;Batt.Dc24;BattAmpIn;Variable
17;Batt.Dc24;BattAmpAvg;Variable
18;Batt;RequestDataDc12OpA;Method
19;Batt.Dc24;ResponseDcData;Event
20;Pow.CpM;TakeCommandPow;Method
21;Pow.CpM;ReleaseCommandPow;Method
22;Pow.CpM;ActiveStationPow;Variable
23;Pow.CpM;OnChangeCommandPow;Event
24;Pow.CpM;StationModePow;Variable
25;Pow.CpM;PowModeIdle;Method
26;Pow.CpM;PowModeShore;Method
27;Pow.CpM;PowModeDisconnect;Method
28;Pow.CpM;PowModeTransitDay;Method
29;Pow.CpM;PowModeTransitNightEngine;Method
30;Pow.CpM;PowModeTransitNightSail;Method
31;Pow.CpM;PowMode;Variable
32;Pow.CpM;OnChangePowMode;Event
33;Pow.CpA;TakeCommandPow;Method
34;Pow.CpA;ReleaseCommandPow;Method
35;Pow.CpA;ActiveStationPow;Variable
36;Pow.CpA;OnChangeCommandPow;Event
37;Pow.CpA;StationModePow;Variable
38;Pow.CpA;PowModeIdle;Method
39;Pow.CpA;PowModeShore;Method
40;Pow.CpA;PowModeDisconnect;Method
41;Pow.CpA;PowModeTransitDay;Method
42;Pow.CpA;PowModeTransitNightEngine;Method
43;Pow.CpA;PowModeTransitNightSail;Method
44;Pow.CpA;PowMode;Variable
45;Pow.CpA;OnChangePowMode;Event
46;Pow.Out12M;OnCh1;Variable
47;Pow.Out12M;OnCh2;Variable
48;Pow.Out12M;OnCh3;Variable
49;Pow.Out12M;OnCh4;Variable
50;Pow.Out12M;OnCh5;Variable
51;Pow.Out12M;OnCh6;Variable
52;Pow.Out12M;OnCh7;Variable
53;Pow.Out12M;OnCh8;Variable
54;Pow.Out12M;SwitchOnCh1;Method
